time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448900000	19.4761	15.9664	4.60733	2.06898	0.691817	lidar	0.116919	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3815	16.1723	4.60283	2.05124	0.467525	radar	2.05233	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2737	16.3507	4.55568	2.07817	0.47524	lidar	0.4153	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1602	16.5409	4.54137	2.11185	0.519121	radar	0.258726	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0217	16.7646	4.6205	2.14029	0.520602	lidar	0.377776	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8646	16.9548	4.64811	2.24267	0.847672	radar	5.71998	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6677	17.2066	4.83927	2.28943	0.847699	lidar	2.19971	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5755	17.4106	4.76199	2.20124	0.326673	radar	6.14436	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3557	17.6188	4.88956	2.24151	0.351808	lidar	3.87576	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.212	17.8116	4.88446	2.2322	0.232861	radar	0.823467	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0945	18.0006	4.8364	2.23256	0.218384	lidar	0.84435	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9183	18.1451	4.78452	2.32028	0.530405	radar	3.55058	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8007	18.2796	4.65459	2.33899	0.518966	lidar	0.938882	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6724	18.4547	4.61969	2.34496	0.474051	radar	6.26752	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4689	18.65	4.73076	2.37366	0.478934	lidar	0.674424	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2904	18.7862	4.70181	2.42894	0.601045	radar	1.90343	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1323	18.9189	4.64016	2.45728	0.600462	lidar	0.201482	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9668	19.0894	4.65294	2.46097	0.517295	radar	2.99184	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7446	19.2085	4.67745	2.50675	0.545846	lidar	2.86547	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.553	19.3635	4.71179	2.53559	0.57365	radar	3.22638	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3137	19.535	4.84169	2.56215	0.564355	lidar	0.885976	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0948	19.6143	4.80081	2.62732	0.670881	radar	9.86148	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8825	19.7585	4.84405	2.65047	0.654118	lidar	0.777254	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6961	19.8847	4.78581	2.62043	0.385824	radar	3.29489	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4568	20.0494	4.90208	2.62794	0.362857	lidar	1.14155	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2351	20.1957	4.95287	2.64018	0.365353	radar	5.39212	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0569	20.3257	4.89839	2.64548	0.348077	lidar	1.81729	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8249	20.4047	4.89144	2.7052	0.499397	radar	2.50206	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6113	20.5231	4.89599	2.72167	0.487358	lidar	0.551749	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3702	20.6126	4.93026	2.77466	0.609392	radar	1.12608	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1235	20.6815	4.94219	2.81408	0.622019	lidar	0.693007	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8859	20.7558	4.95075	2.85307	0.657918	radar	0.0821804	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6048	20.8162	5.02721	2.89405	0.665935	lidar	1.47685	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3607	20.848	5.01949	2.96057	0.794866	radar	1.1829	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1167	20.876	5.00192	3.00545	0.803611	lidar	0.1248	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8885	20.9389	4.96116	3.00156	0.640677	radar	2.45648	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7025	20.9693	4.84221	3.03191	0.6476	lidar	2.09972	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4478	21.0144	4.88017	3.04644	0.590914	radar	2.64229	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1986	21.051	4.9047	3.06803	0.5768	lidar	0.198931	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9643	21.0697	4.89022	3.09828	0.591492	radar	0.913269	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7276	21.0341	4.84983	3.1486	0.625455	lidar	1.67182	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4849	21.0198	4.83947	3.17832	0.602296	radar	1.02266	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2748	21.0102	4.77683	3.20887	0.606365	lidar	0.626857	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0236	20.9704	4.79324	3.24599	0.606761	radar	4.03967	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8201	20.9296	4.71842	3.28594	0.626492	lidar	0.326804	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5633	20.9356	4.72426	3.2511	0.380981	radar	5.22443	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2568	20.9866	4.89598	3.21957	0.287124	lidar	3.39596	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0181	20.9623	4.90277	3.25598	0.385123	radar	1.19529	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84141	20.9231	4.76329	3.28755	0.406538	lidar	1.64081	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60142	20.9154	4.74994	3.26724	0.258966	radar	0.782443	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.42272	20.8679	4.62992	3.2959	0.285949	lidar	0.891157	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.20787	20.818	4.63101	3.34645	0.434449	radar	1.90262	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88688	20.8032	4.83392	3.33674	0.380219	lidar	2.31928	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67984	20.7167	4.79075	3.39943	0.514196	radar	4.79232	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.38813	20.6379	4.91854	3.42205	0.505112	lidar	2.82617	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.15747	20.5574	4.92289	3.46281	0.561504	radar	0.127585	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.91431	20.475	4.94615	3.48957	0.558269	lidar	0.0798889	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70186	20.3875	4.93714	3.54088	0.659873	radar	3.21117	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.36497	20.3334	5.15838	3.52349	0.564666	lidar	2.69983	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.12274	20.2419	5.14671	3.53304	0.488943	radar	0.321214	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.85773	20.1562	5.20192	3.54273	0.462355	lidar	0.192287	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
